id,real,previsto,confianca,sentimento_texto,categoria,quem_errou,nota,review
304,negative,positive,0.99885535,positive,rotulo_ruidoso,rotulo,Texto claramente elogioso; rotulo negativo parece errado,"I was pleasantly surprised with this one. It's actually quite interesting and engaging. The cast is strong, even Dan Cortese. Brooke Shields has come into her own as an actress. Black and White must have really set her free, 'cause I have never seen her in this much command playing a conventional character. If marketed right, could be a medium-size hit."
100,negative,positive,0.99834836,positive,so_bad_its_good,rotulo,"Recomenda com entusiasmo um ""so bad its good""","Terror in the Jungle is a real find. If you saw it, you're one of the few lucky ones. It's hilarious!<br /><br />The story is about an airplane crashing in the middle of the south american jungle. The crash scene has to be seen to be believed. Everyone dies in the crash or they're subsequently eaten alive by crocodiles. Only a young blonde boy survives. A nearby tribes brings the kid to their village and they (all males) venerate him because of his golden hair! I kid you NOT! At the end, there's a lot of wrestling between the natives and the man on the search for any survivors of the downed airplane. All the while, the kid sits on a throne and his blond hair is surrounded by a golden halo and he cries nonstop!! It's a hoot!!!<br /><br />Very obscure and contains very questionable subtexts. A must if you're into obscure, it's-so-bad-it's-good movies."
116,negative,positive,0.9983059,negative,critica_mista,modelo,Tom dismissivo (Van Damme repetitivo); modelo leu como positivo,"Jean Claude Van Damme's movie career seems to have gone to hell in a handcart so how ironic to see him playing a character who meets the same fate in a literal manner at the very start of the movie ! It's also interesting to note how very , very similar the plots of his movies play out regardless of who the producer , director or screenwriter are . Van Damme usually plays a character who is living in France then due to a set of circumstances finds himself in another part of the globe where he has a brother who dies and it's up to Van Damme to get revenge helped by a character he's just met . Look at AWOL or LEGOINAIRRE or many other films that feature the headline "" Starring Jean Claude Van Damme "" and they all feature nearly the same type of story structure . This doesn't mean they're identical of course , just very similar and if you've seen one Van Damme movie you've basically seen them all . It's the same with MAXIMUM RISK"
324,negative,positive,0.9982488,negative,critica_mista,modelo,Elogios sao ao filme ORIGINAL; este e acusado de plagio,"I have read the other user comments and I am happy someone has compared it to the original by Kamal called Perumarzhakalam released in 2004.<br /><br />The original had a tight story and no loopholes as described above about the Indian Govt not having proper records, or even bad shoots and bloopers.<br /><br />The story is great and a touchy one and well described by others. But sadly Nagesh taking credit for it as his own story is a sad thing and amounts to nothing other than plagiarism.<br /><br />I guess he has been affected by Bollywood's so called ""inspired"" syndrome.<br /><br />He must at least give credit where it is due.<br /><br />I liked some of his older movies, but now I suspect if any of them were originals after all.<br /><br />Here is a link in IMDb for the original masterpiece. http://www.imdb.com/title/tt0425350/#comment I recommend everyone to see the original, even with subtitles if needed, to know what class direction and class acting is all about."
252,negative,positive,0.99732697,negative,critica_mista,modelo,"""superb actresses"" mas veredito final: ""the rest is piffle""","Three writers made a valiant attempt to adapt Jane Stanton Hitchcock's novel for the tube, yet this television movie has ultimately been injected with too much melodrama and just doesn't know when to quit. Struggling artist Meg Tilly suddenly finds herself employed by wealthy, enigmatic Ellen Burstyn, who desires a mural painted on the walls of her unused ballroom. After learning about the last gathering held there--Ellen's daughter's coming-out party--Tilly decides on her artistic theme, never dreaming the daughter died mysteriously before the function even began, nor that she and the deceased bore a striking resemblance to one another! Two superb actresses lend their services to an incredible yarn which doesn't bear close scrutiny, one that fails to match either lady in emotional intensity. Burstyn's role teeters on camp, while Tilly gets stuck doing the dreamy-eyed-waif routine. Only one sequence late in the film (the morning after the mural is finished) is charged with honest feeling, anger and betrayal. The rest is piffle."
319,negative,positive,0.9972904,positive,rotulo_ruidoso,rotulo,"Resenha artistica apreciativa; ""Walt Disney it aint""","We don't know if Darlene loves all three gentleman, certainly they are wary of one another, yet they live together. Viewers might surmise that the feelings of rivalry between the gentleman and the feelings of all of them toward Darlene might make for an unbearable home life.<br /><br />In the eerily beautiful rural Brazilian landscape (emphasized by the frequent use of polarization and the use of Kodachrome stock), anything might happen, and the alternatives for any one of them. save perhaps Ciro, may not be alluring enough to encourage them to change their circumstances. They seem to bear the intolerable because it is familiar-the unknown frightens them into complacency toward a fate which is more challenging than their characters can utilize. Thus it crushes them, rather than strengthening them. The web in which they are caught is made of the sanguine filaments which bind us all. Perhaps the sadness I felt after watching this movie has to do with it's portrayal of the inevitable fading of our youth's bright colors in the unforgiving light of time. The three children will enter the world fated to relive their parents lives to one or another degree. Well filmed and portrayed, the story is tragic in it's essence. Walt Disney it ain't"
74,negative,positive,0.9964688,negative,erro_modelo,modelo,"Elogia temporadas 1-3 mas detona a 4: ""save yourself the disappointment""","First of all I must admit Batman: The animated series is the best batman series by far. We watched it when it used to be on TV. I didn't realize that there was a season four. Actually there wasn't. BTAS ends with season 3, and it should have stopped there.<br /><br />Why did they have to mess with a good thing. Catwoman and Poison ivy now have terrible grey faces. The Joker looks beyond scary, it seems that each time they revise his appearance he looks more and more creepier. He doesn't seem to have pupils anymore, and now he doesn't even look remotely human (although he is).<br /><br />Bruce Wayne is voiced by Kevin Conroy who does the best batman. Although he now looks like superman. There is nothing that sets him apart because they both look the same, Bruce Wayne now has blue eyes.<br /><br />Night Wing really needs a haircut, please! Alfred just has pupils from eyes, looks more like a character from the 80's.<br /><br />I have watched three episodes from Disc 1 in the series and I already find that this version is more violent and graphic (there is blood in every episode).<br /><br />If you are a fan of Batman: The animated series, there is no batman season 4. They just included this series as season 4 for marketability. If they just released it as The New batman adventures I don't think as many people would have bought it.<br /><br />Save yourself the disappointment and stick to seasons 1-3."
38,negative,positive,0.9964204,ambiguo,so_bad_its_good,ambiguo,Cheesy mas assistivel; lukewarm,"It was all over with the slashers around 88 so it was time for the cheesy rip offs of those older movies. The Brain is well done, the script reminded me of Videodrome but then in a more cheesy way as said before. The acting can go through with it. But it's the effects that makes you laugh, the so called Brain is really a turkey and the blood is never shown. The opening sequence is what makes this movie worth watching, the hallucinations are really nicely done and reminded me of Nightmare on Elm Street, remember the telephone coming alive.... Some how you keep watching this flick, waiting what is happening next. It's viewable for all freaks out there cause there isn't any gore in it and as said the blood isn't there neither but there is nudity for the perverts. I have seen worser movies than this one, only wished they had made it bloodier..."
102,negative,positive,0.9962346,positive,so_bad_its_good,rotulo,"""cult classics to not miss... enjoy""","This sci-fi adventure is not the best and by no means the worst. I agree with the statement that bad sci-fi is comical. Bizarre pink tinting and unusual special effects make this a favorite for the late, late, late show viewers. Space explorers on the planet Mars fight off strange giant amoeba-like monsters and other strange creatures. Pretty cool.<br /><br />The cast includes Les Tremayne, Naura Hayden, Gerald Mohr and Jack Kruschen. Get comfy and enjoy. Don't feel bad if you nod off for a moment. I agree with adding this to the list of cult classics to not miss."
194,negative,positive,0.9957353,ambiguo,critica_mista,ambiguo,"Defende como melhor que o esperado, mas ironico","A woman as rich as she is insecure has a history of alcoholism and nervous breakdowns, helped no doubt by a smooth-talking gigolo husband who openly cheats on her. Naturally nobody believes her when she claims to have been accosted by a giant man who stepped out of a giant satellite. Much to the delight of her husband, this could be the incident which finally puts her away for good. <br /><br />From the very opening scenes, with it's ludicrous news broadcast and ridiculous satellite encounter, you'll probably be convinced that the only redeeming value of this movie is that it is so bad that it is funny. Although not too far off the mark, this is most definitely not true.<br /><br />Unlike most movies of this genre, this is not really a sci-fi or a horror film, but actually a serious drama which intelligently incorporates a sci-fi scenario into the plot. It's not a good or even mediocre drama, but it will exceed your expectations if you weren't expecting any legitimate drama at all. The acting is surprisingly good for such a low budget effort and, most importantly, it is well edited and excellently paced. It is never boring and manages to generate more than a little interest in seeing what will come next. Nevertheless, this is still a movie strictly for those who can't pass up the chance to see a 1950s film with a title like ""Attack of the 50 Foot Woman""!"
175,negative,positive,0.9948704,negative,erro_modelo,modelo,"""boring drama... snoozer""; modelo enganado por vocabulario","I ended up watching The Tenants with my close friends who rented the movie solely based on Snoop Dogg's appearance (a passionate fetish of theirs) on the cover. Understandably, I did not expect much. I thought the movie would include the typical array of Snoop Dogg related behavior and imagery often seen in cliché rap videos. However, my generalization was for the most part wrong. Unfortunately, this didn't make the movie any better.<br /><br />Most would describe the movie as a dark serious drama, whereas I would describe it as a dark seriously drawn out boring drama flick. The film tells a story of two struggling writers (Dylan McDermott and Snoop Dogg) who are trying to create their own separate masterpieces. Their polar opposite lifestyles end up forming an unlikely but highly complex and neurotic friendship. This friendship moves throughout the entire movie like a wild roller-coaster - most of which is contributed by Snoop's character - reminiscent of someone with a severe case of split personality disorder. And although the movie is a drama, the acting - which has a morbid and serious tone - from Snoop and company was more comical than anything else.<br /><br />I wouldn't recommend this movie for those who are attention impaired because this one has a lot of dialogue and a lot more dialogue after that. There are some mediocre conflicts, but even they are mostly bogged down with more dialogue. The end, however, jumped at me with a sudden surprise. It was a little bit twisted, somewhat unexpected and a perfect way to wrap up a movie that needed to end. While watching the ending credits I couldn't help but picture the director thinking, ""Oh God, how the hell do I end this snoozer."" By the way, the director laid out carefully planted hints and subtleties leading to the climax - all of which are more visible than Waldo in a crowded street of midgets wearing nothing but black sweaters."
36,negative,positive,0.99415743,negative,critica_mista,modelo,"Elogia o livro/historia, negativo quanto ao desenho","I saw this movie as a very young girl (I'm 27 now) and it scared me witless for years. I had nightmares about every aspect of this film from the way it was drawn to the music to (obviously) the violence. My parents still argue about who allowed me to watch it and both of them say that they would never let me watch such a movie. I think they only say that knowing that I have such strong feelings about it ;0) I am currently reading the book (out of morbid curiosity and the fact that it's a classic) and it is really a great story. However I don't think that it should have been made into a cartoon. Ever. Well, maybe kids nowadays would find it quaint but it gave me nightmares for weeks and weeks and I still have a hard time seeing rabbits drawn in a similar way. Gives me a little heart palpitation every time. Yah I am a wuss but I strongly suggest that any parent looking to show this movie to their kids, read them the book instead or watch it first to make certain that they approve of the content. Not everyone finds it as disturbing as I did but we are out there ;0)"
151,negative,positive,0.99386686,negative,erro_modelo,modelo,"""plot weak... not acceptable""; erro claro do modelo","The motion picture was, in all likelihood, made in the year 1930 and released in 1931. I would surmise that talking motion pictures had great difficulty in making the transition from the silent era. Nevertheless, this particular Zane Grey plot appears to be very weak. Also, Gary Cooper was probably just learning to act. The result is something that would not be acceptable by today's standards. For 1931, maybe. For 2004, not acceptable. Some of the actors performed well. Sadly, the Indians always get the short end in these early westerns. They were living on the land long before the white man came, but according to twisted history, they had no right to defend themselves."
155,negative,positive,0.9911011,ambiguo,so_bad_its_good,ambiguo,Adora mas da 1/10 (texto x nota em conflito),"There's so many negative reviews about ""Stay away, Joe"" in here I just can't stay quiet any longer and let this injustice happen. Here's a side you haven't heard yet.<br /><br />Elvis Presley's movies are my guilty pleasure for a simple reason: they are perfect films for a pure relaxation because I don't have to think when I watch them. That means I don't have to worry about missing a complex plot because there never is a proper plot to start with. I can just kick off my shoes, grab a beer, sit back, switch off my brains and enjoy all the general wackiness and catchy easy-going rock n' roll tunes from the grooviest decade of them all.<br /><br />In my books ""Stay away, Joe"" definitely falls into the ""so bad it's good""-category. Now if you're like me and appreciate ""the trash value"", this is the ultimate 1960's camp experience. It's so bad that it's almost surrealistic to watch and just when you think that it can't possibly get any worse it surprises you in the most imaginable ways. In the end you're so amazed by all the new levels of stupidity you just don't know whether to laugh or cry. In a nutshell: I love it because it's so damn amusing that there once was a generation that actually made films like this. I still give it 1 out of 10 though - once it hits the bottom 100 it will became an instant bad movie classic."
158,negative,positive,0.99010193,ambiguo,critica_mista,ambiguo,"""cant say i liked it, but cant say i didnt""","*****probably minor spoilers******<br /><br />I cant say i liked it, but i cant say i didn't...its very strange. It has bad things in it like for example a shark that came out of nowhere with the worst CGI you can imagine,if i was the director i would cut that part for sure, gave me the urge to stop seeing the rest of the movie... For some people it will be boring cause it lacks action, feels home made sometimes... Take for example a scene that one of the friends died and next thing they are doing is what? nop,not crying...their telling horror stories to each other..*sighs*(just after crying for hes lost)<br /><br />Another stupid thing was when they were talking inside the boat they had like ""hundreds"" of candles in the table in front of them...the boat is surrounded by some kind of rag curtains(old rags covering the windows) and sofas/Couches ...i thought it was dumb, using candles but not thinking about the surroundings, besides being in high sea alone...<br /><br />The good, some scary scenes they are nicely done i liked some. Sometimes horror works better when its hidden when its behind something instead of showing of, so this movie does it good, maybe because its a low budget i don't know, but it works fine for me! You will feel tension if you forget some holes like the ones i mentioned above.<br /><br />Do not expect much of it! but if you like anykind of movie watch this one, be patient, try to enjoy.. lol<br /><br />(sorry about my raw English) =)<br /><br />Cheers"
288,negative,positive,0.98594993,negative,sarcasmo_ironia,modelo,"""acts better than my high school theater class"" (sarcasmo)","Well!! the movie has Catherine Zeta Jones in it. It's a Hallmark television movie. It's from a Thomas Hardy novel. It has Catherine Zeta Jones in it. She is by far the only one in the movie who acts better than in my high school theater class. Oh yes it has Clive Owen in it. I'm not British so that means almost as much as being a Thomas Hardy novel. Except he was in ""The Bourne Identity"", and I liked that. That just about wraps it all up folks. That really all there was. I'm becoming repetitive, but I do like CZJ, so I stuck it out to the end. The computer is telling me that I don't have 10 lines and I keep counting them. I always count 11, but maybe it just doesn't like my style, but that is my opinion of the movie, too."
233,negative,positive,0.98582757,negative,critica_mista,modelo,"""two reasons I dont like this movie""","I am not so much like Love Sick as I image. Finally the film express sexual relationship of Alex, kik, Sandu their triangle love were full of intenseness, frustration and jealous, at last, Alex waked up and realized that they would not have result and future.Ending up was sad.<br /><br />The director Tudor Giurgiu was in AMC theatre on Sunday 12:00PM on 08/10/06, with us watched the movie together. After the movie he told the audiences that the purposed to create this film which was to express the sexual relationships of Romanian were kind of complicate.<br /><br />On my point of view sexual life is always complicated in everywhere, I don't feel any particular impression and effect from the movie. The love proceeding of Alex and Kiki, and Kiki and her brother Sandu were kind of next door neighborhood story.<br /><br />The two main reasons I don't like this movie are, firstly, the film didn't told us how they started to fall in love? Sounds like after Alex moved into the building which Kiki was living, then two girls are fall in love. It doesn't make sense at all. How a girl would fall in love with another girl instead of a man. Too much fragments, you need to image and connect those stories by your mind. Secondly, The whole film didn't have a scene of Alex and Kik's sexual intercourse, that 's what I was waiting for. However, it still had some parts were deserved to recommend. The ""ear piercing "" part was kind of interesting. Alex was willing to suffer the pain of ear piercing to appreciate kik's love. That was a touching scene which gave you a little idea of their love. Also, the scene of they were lying in the soccer field, the conversation express their loves were truthful and passionate."
226,negative,positive,0.982031,ambiguo,critica_mista,ambiguo,Descritivo de exploitation; apreciacao de genero,"An interesting slasher film with multiple suspects.<br /><br />Includes typical girl flashing her breasts (Denise Cheshire) as she changes into her swimsuit, creepy suspect - any one of them could be doing the deed, expected breast baring to get a passing grade (Linnea Quigley), a very unusual forward pass, more bare breasts, a track and field event that will NOT be in the summer Olympics, and a ghoulish secret.<br /><br />It all comes to a crashing ending. No, there's more. Won't this guy die? I bet Anne (Patch Mackenzie) doesn't plan any more visits home anytime soon.<br /><br />If you like teen slasher films, can you possible be a pervert, even if all the actresses are over 18?"
4,negative,positive,0.9803374,negative,erro_modelo,modelo,"Critica politica/qualidade (""fairy story""); modelo errou","George P. Cosmatos' ""Rambo: First Blood Part II"" is pure wish-fulfillment. The United States clearly didn't win the war in Vietnam. They caused damage to this country beyond the imaginable and this movie continues the fairy story of the oh-so innocent soldiers. The only bad guys were the leaders of the nation, who made this war happen. The character of Rambo is perfect to notice this. He is extremely patriotic, bemoans that US-Americans didn't appreciate and celebrate the achievements of the single soldier, but has nothing but distrust for leading officers and politicians. Like every film that defends the war (e.g. ""We Were Soldiers"") also this one avoids the need to give a comprehensible reason for the engagement in South Asia. And for that matter also the reason for every single US-American soldier that was there. Instead, Rambo gets to take revenge for the wounds of a whole nation. It would have been better to work on how to deal with the memories, rather than suppressing them. ""Do we get to win this time?"" Yes, you do."
133,negative,positive,0.9785903,positive,so_bad_its_good,rotulo,"""good film... best two bucks... loved the killer robot""","i just got done watching this movie and i have to say, it was a good film, i loved some of the good guy's and i loved the killer robot but the movie had some hole's in it.<br /><br />the name's of the people in it was kind of..stupid..i think people should of sued the maker's of this movie for how lame it was at the end..the first half hour was good but then it just dragged on and on then i was happy..it was over...but still loved the the killer robot and some of the movie's good guy's in it.<br /><br />i think it was the best two buck's i have ever spent because i do like stupid b-movie's like this one and come on..it is a b-movie everyone."
195,negative,positive,0.9749884,negative,erro_modelo,modelo,"""no big deal, just violence and sex""","A movie about a French girl who gets raped by street hoodlums. The rape scene itself is shot in all it's gory detail with all the male and female organs and their interactions clearly visible to the camera. In a fit of rage, the victim grabs her friend's (or was it brother ?) gun, shoots him and runs off with the weapon. She meets this prostitute who has just seen her pimp shot down, they team up, and make off towards Paris. A series of crazy, meaningless and wild killings follow, the girls seem to enjoy every murder more than the one before. One poor guy gets shot in the ****hole. There are good doses of sex thrown in between the numerous killings.<br /><br />The movie is not the most violent I have seen, I would say Saving Private Ryan probably had more violence in it. If violence is what you are looking for, then there are lots of other movies out there. And if it's sex you are out for, then I would suggest one of those XXX ones.<br /><br />I went to see the movie because of all the hype the media was giving it. The movie itself is no big deal, just a lot of violence and sex shot with something like a hand-held camera. I was surprised this movie had a 15 year age limit in Sweden, if 15 year-olds can watch this movie, they should be able to watch XXX movies too."
103,negative,positive,0.90295243,negative,sarcasmo_ironia,modelo,"""hit your head with a shovel..."" (insulto sarcastico)","If you hit your head with a shovel, write the script with your feet, you may come close to the intelligence level of this movie. There is nothing in this movie that hasn't been done a thousand times in other gangster flicks and done much better. Those who think ""Scarface"" was some kind of hero to be looked up to or saw ""Goodfellas"", ""Menace II Society"" or ""Dead Presidents"" and thought MMM ""That's the life for me!"" will like this movie. I thought I'd give the movie a chance, since the premise was perfect for a prequel. I should have known better after seeing Mario Van Peebles and Sean Combs were involved. Anyone above a 4th grade education, see the original with Pacino, a real actor, and be satisfied."
255,negative,positive,0.87418467,negative,critica_mista,modelo,"""wasnt impressed... disappointed"" com recomendacao final qualificada","I wasn't impressed with the Graffiti Artist, despite it's artsy (aka. low budget improvisation) appeal. There is little dialog and at least for me, I was disappointed that it didn't give more credit or promote the work of guerrilla artists such as these. Instead, it was a story that covers familiar territory. Two guys who basically do little more than tag buildings become friends, tagging partners, and eventually experiment with a relationship. They seem like opposites, rather uncomfortable together. Little is explained about their backgrounds and the things between the two young men happen at rapid speed (although, this I can understand because it's only 70 minutes or so). There's been countless numbers of similar plots and productions in recent years to the point that the sphere of independent film is starting to become just as saturated with this particular storytelling just as the mainstream has become saturated with this and more.<br /><br />Much of the film may bore the viewer who needs immediate dialog and purpose. The primary figure of this story (at least extensively), performs his routines with nearly no dialog, no insight, and nothing else to carry the viewer. And, for a short film, I wished they could've gotten to the point a lot faster. That, aside from the typical plot annoyed me. Yet, there was something about a momentary glimpse into the daily habits of at least two graffiti artists, even if most of it was rather unoccupied time.<br /><br />Recommended if you're tired of the mainstream crap and don't mind an indie picture and have some interested into this underground, urban art form. But, you really have to watch it for yourself, because this seems to be one with a more acquired taste. For more recent indie films centering on graffiti artists, check out Transit."
227,negative,positive,0.7889899,ambiguo,so_bad_its_good,ambiguo,"""awful... but couldnt stop watching"" (Kazaam)","The only reason I DVRd this movie was because 1. I live in Cleveland and Shaq plays basketball for us now and 2. I've always heard how awful it was. The movie did not disappoint. The best parts were Shaq's outfits. The worst parts were, well, just about everything else. My 12 year old son and I just squirmed and couldn't look at the screen when Shaq started rapping and we kept wondering why Max didn't wish for Kazzam to fix that front tooth of his! But for all it's terribleness we just couldn't stop watching it, the story sucked you in, like a black hole or quicksand or a tar pit, it was hypnotic. But it was worth it for the laughs and just to say that we actually watched ""Kazzam""."
19,negative,positive,0.63253117,positive,so_bad_its_good,rotulo,Recomenda afetuosamente (conf baixa 0.63),"When I was 13 or so I was lucky enough to find this film. It was part of an endless Danish series of really cheesy stuff. This however was the cheesiest I ever owned - but I guess I sold it, too bad. Well what to write... Better than ""Manos: the hands of fate"" and worse than ""Critters 4"". But it's definitely worth an hour and a half since this was made by people who wanted to make it. The acting isn't that terrible compared to several other eighties trash - in fact I kind of like the old man even though he did'NWT look that Indian to me. But I guess you can't have everything... Do yourselves a favour and look this up..."
130,positive,negative,0.9995932,negative,rotulo_ruidoso,rotulo,"""just dont see it. Neither good nor bad""; rotulo positivo discutivel","The only reason I wanted to see this was because of Orlando Bloom. Simply put, the movie was spectacularly average. It's not bad, but it's really not very good. The editing is good; the film is well-paced. The direction is competent and assured. The story is plodding. The film is averagely acted by Ledger, Bloom, and the normally great Watts and Rush. The accents are impenetrable if you're from the US so just sit back and enjoy the scenery (or as I like to call it, Orlando Bloom). By the end of the film, I was neither bored nor moved. Some people have asked what happened to Ned Kelly at the end of the movie. I have to say, I so did not care by that point.<br /><br />Really, the only reason I can recommend this is that Orlando Bloom kind of, sort of shows some hints of range (although the oft-present ""I'm pretty and confused"" look is prominent), so fangirls may find it worth the matinee price. Other than that, just don't see it. It's neither good enough nor bad enough to be entertaining."
189,positive,negative,0.9995915,negative,rotulo_ruidoso,rotulo,"Texto negativo mas ""7/10"" no fim (texto x nota)","Simon Wests pg-13 thriller about a babysitter who gets disturbing prank calls while sitting at a mansion is neither original nor exciting enough to be called a good film. Although there are some elements of suspense, good eye candy and decent characters, the film is just another I know what you did last summer, as it falls short of being taken seriously. The performances were alright, but nothing special with this flick, i say skip it, unless you are looking for a mediocre movie, you can find better films than this on lifetime sometimes, okay maybe not lifetime but at least USA or somethin, haha.... <br /><br />7/10"
